Last updated:   08/20/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,ISO3,Population,"Secured Vaccine, Before Adjustment (millions of courses)",Adjustment (millions of courses),Secured Vaccine (millions of courses),Vaccine Needed to Reach 60% of Population (millions of courses),Bilateral Deals (millions of courses),Donations (millions of courses),COVAX donations (millions of courses),COVAX AMC/SFP (millions of courses),EU Deal (millions of courses),Other sources (millions of courses),Domestic Supply (millions of courses),"Secured Vaccine, Before Adjustment (% of population)",Adjustment (% of population),Secured Vaccine (% of population),Vaccine Needed to Reach 60% of Population (% of population),Bilateral Deals (% of population),Donations (% of population),COVAX donations (% of population),COVAX AMC/SFP (% of population),EU Deal (% of population),Other sources (% of population),Domestic Supply (% of population)
Nicaragua,NIC,6624554,2,0,2,2,0,0,0,2,0,0,,35,0,35,25,0,2,4,30,0,0,
Ethiopia,ETH,114963583,40,0,40,29,0,0,2,34,0,3,,35,0,35,25,0,0,2,30,0,3,
Algeria,DZA,43851043,15,0,15,11,2,0,0,13,0,0,,35,0,35,25,5,0,0,30,0,0,
Somalia,SOM,15893219,5,0,5,4,0,0,0,5,0,0,,34,0,34,26,1,1,3,30,0,0,
Suriname,SUR,586634,0,0,0,0,0,0,0,0,0,0,,30,3,33,27,0,4,7,7,0,11,
"Bahamas, The",BHS,393248,0,0,0,0,0,0,0,0,0,0,,33,0,33,27,0,3,0,20,0,10,
Niger,NER,24206636,8,0,8,7,0,0,0,7,0,0,,32,0,32,28,0,1,1,30,0,0,
Syrian Arab Republic,SYR,17500657,6,0,6,5,0,0,0,5,0,0,,32,0,32,28,0,1,1,30,0,0,
"Yemen, Rep.",YEM,29825968,10,0,10,8,0,0,1,9,0,0,,32,0,32,28,0,0,2,30,0,0,
Tanzania,TZA,59734213,19,0,19,17,0,0,1,18,0,0,,32,0,32,28,0,0,2,30,0,0,
Chad,TCD,16425859,5,0,5,5,0,0,0,5,0,0,,31,0,31,29,0,1,1,30,0,0,
Bosnia and Herzegovina,BIH,3280815,1,0,1,1,0,0,0,0,0,0,,36,-4,31,29,14,9,8,5,0,0,
Namibia,NAM,2540916,1,0,1,1,0,0,0,0,0,0,,31,0,31,29,5,3,7,4,0,13,
Mali,MLI,20250834,6,0,6,6,0,0,0,6,0,0,,31,0,31,29,0,0,1,30,0,0,
Albania,ALB,2877800,1,0,1,1,1,0,0,0,0,0,,22,9,31,29,18,1,0,2,0,0,
Eritrea,ERI,3546427,1,0,1,1,0,0,0,1,0,0,,30,0,30,30,0,0,0,30,0,0,
Vanuatu,VUT,307150,0,0,0,0,0,0,0,0,0,0,,30,0,30,30,0,0,0,30,0,0,
Burundi,BDI,11890781,4,0,4,4,0,0,0,4,0,0,,30,0,30,30,0,0,0,30,0,0,
Grenada,GRD,112519,0,0,0,0,0,0,0,0,0,0,,30,0,30,30,0,0,0,30,0,0,
"Korea, Dem. People's Rep.",PRK,25778815,8,0,8,8,0,0,0,8,0,0,,30,0,30,30,0,0,0,30,0,0,
Marshall Islands,MHL,59194,0,0,0,0,0,0,0,0,0,0,,30,0,30,30,0,0,0,30,0,0,
